MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수
215251000,CMA CGM T.ROOSEVELT,74,9780873,9HA5029,139,227,24,24,13.4,169408
215293000,CMA CGM LA SCALA,71,9450612,9HA5044,260,74,10,32,13.2,128745
215331000,CMA CGM ARGENTINA,70,9839909,9HA5066,110,256,29,22,14.4,169408
215503000,LA SEINE,84,9845764,9HA5145,235,64,13,33,9.5,92364
215558000,APL QINGDAO,71,9461893,9HA5178,268,86,32,14,11.4,153285
215561000,VIRGO,71,9430765,9HA5181,194,71,16,16,11.7,64302
215573000,PEARL LNG,80,9862346,9HA5185,231,62,21,25,10.4,86915
215577000,CMA CGM ALASKA,70,9469572,9HA5189,145,221,29,19,15.7,169408
215654000,TONGALA,70,9605786,9HA2776,33,167,6,26,10.6,26867
215657000,CMA CGM THALASSA,71,9356294,9HA5230,260,87,22,22,8.7,144371
215748000,CNC JUPITER,70,9836672,9HA5265,136,36,21,7,7.3,17089
215765000,CMA CGM TENERE,70,9859117,9HA5273,110,256,29,22,14.6,169408
215839000,CMA CGM SCANDOLA,70,9859129,9HA5325,110,256,29,22,13.5,169408
215857000,CMACGM BOUGAINVILLE,71,9702156,9HA5334,145,253,27,27,11.4,217841
215879000,CMA CGM NORMA,73,9299812,9HA5346,258,92,9,34,11.7,148148
215966000,CMA CGM IGUACU,70,9859131,9HA5398,110,256,29,22,14.5,169408
215992000,CMA CGM AMERIGO VESP,71,9454395,9HA5406,145,220,26,26,12,168023
218170000,REGINE,79,9393242,DFVJ2,21,139,13,11,7.3,13756
218284000,KUALA LUMPUR EXPRESS,79,9343730,DFNB2,20,316,21,21,7.5,131071
218400000,MSC LA SPEZIA,71,9461403,DIGX2,142,224,28,23,14.8,169408
218426000,HONG KONG EXPRESS,71,9501356,DJAZ2,141,225,29,19,12.5,169408
218427000,SHANGHAI EXPRESS,71,9501368,DJBF2,141,225,29,19,13.5,169408
218441000,MSC LIVORNO,71,9461427,DIGY2,142,224,28,23,10.6,169408
218474000,ESSEN EXPRESS,71,9501370,DCQP2,141,225,29,19,14,169408
218522000,MARIA,79,9266566,DPWD,17,134,11,11,6.2,11563
218549000,WIKING,70,9708382,DJNY2,200,55,24,14,9.4,57294
218565000,LEVERKUSEN EXPRESS,71,9613006,DJDS2,141,225,29,19,12.6,169408
218566000,LUDWIGSHAFEN EXPRESS,71,9613018,DDOR2,141,225,29,19,14,169408
218643000,ZIM HONG KONG,71,9290567,DFDH2,261,76,23,23,13,132245
218650000,ZIM NEWARK,70,9290555,DFDG2,261,76,18,28,14.4,132245
218774000,DORTMUND EXPRESS,71,9461051,DFKM2,141,225,29,19,12.8,169408
218776000,NEW YORK EXPRESS,70,9501332,DIXJ2,141,225,29,19,7.3,169408
218791000,ANTWERPEN EXPRESS,79,9612997,DJCE2,141,225,29,19,7.5,169408
218819000,MSC GENOVA,71,9461386,DIDK2,142,224,28,23,14.9,169408
218845000,CMA CGM ORFEO,70,9364992,DFPG2,258,92,30,12,10.2,148148
219018692,MARY MAERSK,71,9619921,OWJE2,146,253,30,30,13.9,219487
219018986,MAGLEBY MAERSK,74,9619957,OWJI2,146,253,30,30,14.7,219487
219019094,MARIBO MAERSK,71,9619969,OWJJ2,146,253,30,30,14.6,219487
219019365,MATZ MAERSK,71,9619983,OWJM2,146,253,30,30,15,219487
219027000,MAERSK EINDHOVEN,71,9456771,OXFG2,142,224,33,15,14.6,169408
219027759,NORDAGER MAERSK,70,9885154,OYJO2,150,22,19,13,8.8,17089
219027761,NUUK MAERSK,70,9885178,OYLY2,150,22,19,13,7.8,17089
219031000,MAERSK ESSEX,71,9458092,OXSQ2,142,224,33,15,14.5,169408
219031418,CAROLINE MAERSK,71,9214903,OUMP2,244,103,21,22,15.2,144371
219031419,A.P. MOLLER,73,9214898,OUMQ2,244,103,21,21,14.8,144371
219031426,CARSTEN MAERSK,74,9219795,OUMN2,244,103,21,21,15.2,144371
219031427,CORNELIUS MAERSK,71,9198587,OUMO2,244,103,21,21,15.2,144371
219033000,MAERSK EDINBURGH,74,9456757,OXLT2,141,225,34,14,10.9,169408
219036000,MURCIA MAERSK,71,9780457,OWTB2,116,283,29,29,11.9,219487
219038000,MANILA MAERSK,79,9780469,OWPP2,116,283,29,29,12.3,219487
219045000,MAASTRICHT MAERSK,70,9780483,OWSE2,116,283,29,29,10.6,219487
219068000,SANTA BARBARA,71,9430399,OXCH2,222,78,15,28,12.4,93294
219071000,SANTA URSULA,71,9430387,OXBD2,226,74,16,27,11.6,93294
219155000,MAERSK EVORA,71,9458080,OXVS2,142,224,34,14,11,169408
219185000,KARINA DANICA,70,8903014,OVOB 2,59,10,7,3,3.7,1014
219196000,MAERSK BALTIMORE,71,9313917,OZCX2,162,132,16,16,9.9,87807
219198000,MAERSK ELBA,71,9458078,OYHL2,142,224,33,15,15.7,169408
