MMSI,선박명,선종코드,IMO,호출부호,DimA,DimB,DimC,DimD,흘수,추정톤수
352870000,MSC FLORENTINA,79,9251705,HPFH,23,277,20,20,8.2,93294
352871000,MSC CANDICE,71,9339284,3ENC5,260,77,18,28,12,132245
352879000,GRAND PAVO,70,9284776,3EAG4,34,165,11,21,8.2,26466
352894000,MYLO,70,9278612,HPFK,100,20,10,6,5.4,5803
352898707,BO YANG TUO ZHAN,70,9949039,3E2004,37,60,8,8,5.9,2819
352898756,VW FORTUNE,70,9366586,3E2042,86,16,5,15,5.9,3564
352898769,TIAN EN 6,70,9956484,3E2051,95,15,11,8,6.2,4470
352906000,K.JASMINE,81,9373008,3EPQ5,225,60,20,23,10,79988
352915000,HEROIC ACE,70,9252216,HPFM,21,177,22,10,9,26069
352952000,MSC NEW YORK,71,9606314,HOFP,160,239,18,36,10.7,219487
352978125,HE YUAN 1,73,9187485,3E3956,121,15,11,12,6.8,8448
352978163,BAO ZHEN,70,8580903,3E2397,80,20,8,8,4.8,3088
352978235,FUTURE OCEAN,70,9309863,3E3349,110,18,4,16,9.7,7043
352978262,ASIAN HARMONY,70,9196486,3E3364,80,12,6,11,4.5,2405
352980825,HONG JIA 17,70,8651219,3E3553,96,19,10,6,5.2,5107
352980865,KIFUNE,70,9892949,3E3580,13,125,17,7,7.5,8826
352986206,KATORI,70,9892937,3E3946,13,125,17,7,5.7,8826
353051000,MSC GAIA,73,9401142,3EXO7,144,222,19,32,10.4,169408
353059000,HEUNG-A SARAH,70,9698379,3ELR4,118,23,14,9,7.3,9414
353079000,BOYANG ALASKA,70,9851206,3FDP7,111,23,15,5,7.3,8080
353111000,MSC SHANELLE,79,9292175,HOKN,217,77,20,12,7.9,87807
353155000,MSC EMANUELA,71,9399052,3FKG,146,220,21,30,15.4,169408
353160000,MSC SONIA,71,9404663,3EUP7,246,120,26,26,12.4,169408
353162000,MSC BEATRICE,79,9399014,3FUF2,146,220,25,26,9.7,169408
353188000,KURUSHIMA,99,9539353,3EUX6,144,30,8,20,6.2,17692
353201000,POS HOCHIMINH,70,9859650,3FKA6,132,40,21,6,9.8,17089
353273000,CHEM HANA,80,9881354,HO5909,55,13,9,2,4.7,971
353326000,JIAHONG,79,8934051,3ENW8,72,18,9,5,4.7,2251
353379000,EVER SUPERIOR,70,9315472,H9JY,100,17,5,15,6.7,5378
353414000,EAGLE ARROW,70,9529592,3FJA2,173,26,20,11,8.3,26466
353426000,WANTONG SUMMER,70,9117313,H9UD,158,32,20,12,6.7,23035
353428000,MSC LAUREN,73,9467407,3FZR5,146,220,32,16,12,169408
353484000,FLOURISH OCEAN,70,9160384,3FVQ7,93,17,11,8,5.8,4470
353499000,MSC DAMLA,71,9250983,HOCR,219,75,25,15,10.8,87807
353541000,LUCKY ANNIE,70,9801598,HP4643,93,7,8,8,6.2,3088
353590000,MSC ISABELLA,71,9839272,HP3521,128,272,34,27,14.9,221142
353642000,DREAM BEAUTY,70,9303168,3EFF2,30,156,20,8,7.9,21611
353645000,SDL MAYA,70,9384784,3EFX3,72,15,5,10,6.1,2033
353647000,MORNING CINDY,70,9633185,3FQY7,20,179,23,9,9,26466
353653000,STAR GATE,70,9033373,HO3888,72,19,7,7,5.2,2327
353666000,MSC MICHAELA,79,9230488,HOEZ,14,290,20,20,10.2,97076
353706000,IGUAZU HIGHWAY,70,9827243,3EME5,15,184,28,9,8.8,26466
353775000,MSC BARBARA,90,9226932,HODU,213,91,26,14,8.3,97076
353777000,RICH OCEAN,70,9302293,3EMM5,72,20,7,7,3.9,2405
353791000,IYO,70,9300879,HONU,121,28,15,9,5.8,11109
353861000,GRAND MUSE,70,9152363,HO6237,58,13,4,8,4.4,1105
353921000,TAIKLI,70,9561629,3EYR5,107,17,13,7,6.6,6403
353934000,MSC ELA,71,9282259,H3MJ,226,68,15,17,11.2,87807
353968000,MSC LISA,70,9281279,H3MK,222,72,16,16,9,87807
353997000,MONACO BRIDGE,70,9757204,H9BB,142,224,21,30,9,169408
354021000,LOA PEACE,70,9138317,3FCD7,189,18,14,16,11.5,30648
354022000,EVER FORE,70,9850824,3EWW7,135,199,29,19,11.8,128745
354090000,EVER BLOOM,70,9481726,3EOZ9,87,21,9,9,6.8,4230
354118000,LOS ANDES BRIDGE,71,9451472,3EWK3,150,50,10,22,9.3,26867
354149000,G POSEIDON,79,9445394,HP6652,25,207,23,9,9.6,43147
354159000,SK SUNRISE,80,9247194,HPIY,213,65,17,25,9.8,74238
354162000,KEN EI,70,9538983,3FEZ8,152,25,20,8,9.9,18623
354199000,HL GLADSTONE,70,9581174,3FMN,253,39,13,32,9,86028
354202000,MSC ORNELLA,70,9281267,H3RF,217,77,12,20,13.1,87807
354356000,GLORY HOPE,70,8975642,3FPJ5,100,17,16,7,9.2,5378
354360000,PUFFIN ARROW,70,9566605,3FIZ6,174,26,20,12,9.9,26867
354462000,MSC ROSA M,71,9461398,3FDM4,142,224,28,23,14.7,169408
354464000,DONG YU,70,9575369,3FNR5,78,19,10,7,5.8,2819
354493000,MABAH,70,9105358,3FSC4,92,28,4,12,5,5803
354495000,QING JI,70,9396256,3EFI8,65,15,4,10,5.5,1581
354557000,LIANGDA,70,9772814,3EYO4,105,29,15,4,7,8080
354586000,SD GLORIA,70,8413459,HOKX,84,29,8,8,4.1,4845
354625000,MSC CAMILLE,71,9404651,3FQT9,145,221,26,26,14.7,169408
354646000,EASLINE KWANGYANG,70,9226827,HOLT,151,41,10,18,6.1,23770
354674000,GLOBAL YUQUOT,70,9883716,3FDU3,154,29,22,10,6.6,20582
354675000,NEW COURAGE,70,9074030,3FAS6,98,22,5,16,6.8,5803
354727000,OSLO TRADER,71,9817925,3EMI4,151,21,9,19,8,17089
354797000,DA FU,70,9153898,3FUL8,127,26,14,9,8.6,12028
354817000,DS PROSPERITY 7,79,9566239,3FCH6,87,21,6,14,6.8,4230
354864000,ENCORE,70,9570943,3EXJ5,105,27,11,11,7.8,7724
354959000,NAGATO,70,9665877,3FTS9,113,18,13,7,8.2,7550
354972000,MSC MARINA,70,9275971,HPSB,214,90,20,20,14.8,97076
355029000,GRAND MARK,70,9228306,H3LL,51,149,16,16,8.3,26867
355106000,EVER BURLY,74,9790086,H9ON,164,47,23,10,11.2,32459
355188000,FC GLORIA,89,9372353,HORN,80,31,9,9,6.9,4593
355216000,MSC MAUREEN,74,9251717,HPMP,227,73,19,21,8.8,93294
355222000,GRAND DAHLIA,79,9355238,3FRA8,27,172,11,21,9.1,26466
355232000,ST SUCCESS,74,9472581,3FTZ5,153,47,10,22,10.1,26867
355283000,MSC LUCIANA,72,9398383,3FTY3,275,88,16,30,13.7,165276
355288000,MAERSK ENSHI,74,9502946,3FIL,130,236,29,19,11.3,169408
355297000,SANG SHIN,70,9073701,3FUX9,29,150,24,8,8.8,19261
355304000,HOSEI SAKURA,70,9673197,3FPY2,111,21,17,6,6.3,7724
355310000,GRACE MERCHANT,70,9169861,H8ON,86,14,6,14,6.6,3088
355398000,SINLAU BULKER,70,9749960,H3GM,153,27,19,11,10.6,19586
355424000,DE HAN NO.1,70,9392614,3FHR3,100,20,13,8,7.2,5803
355488000,DELHI HIGHWAY,70,9536959,3EVM6,40,160,24,8,8.6,26867
355542000,NAN XIANG,70,9378436,HP4106,83,13,14,2,3.9,2732
355567000,CITRINE,70,9412361,3EUK,100,21,9,9,4,5949
355608000,SKY ALICE,70,9245079,H9AC,80,16,7,10,7.3,2732
355615000,POSITIVE STAR,70,9304502,H8WC,20,160,8,22,8.8,19586
355616000,OCEAN WORLD,80,9528718,3FAE6,85,17,8,9,4.7,3564
355623000,EVER FAITH,74,9850525,3EVZ8,131,203,20,28,14.7,128745
355632000,MAERSK NUSSFJORD,70,9894662,3EEM5,126,46,9,24,7.4,17089
355649000,GRAND MERCURY,70,9247584,HOOC,29,171,24,8,8.9,26867
355652000,V  GLOBAL,70,8695693,3FQI3,60,19,6,8,5,1522
355658000,SM SEAHAWK,84,9761839,3FLV3,234,61,24,22,9.3,88707
355714000,MSC IMMA,74,9124366,3ETY3,150,52,12,20,7.9,28480
355722000,EVER CHASTE,71,9887009,HPSW,134,38,20,7,9.9,17089
355740000,QING XIANG,70,9324411,3EOG3,68,12,4,9,5,1581
355745000,PRESTIGE ACE,70,9213454,H3NG,27,173,18,14,8.4,26867
355768000,MORNING CARA,79,9574092,3FVC2,20,179,8,24,9.6,26466
355777000,NYMPH,70,9549360,3FLU9,98,34,3,19,7.1,7724
355798000,MSC MIA,71,9839466,HP6643,128,272,27,35,15.2,221142
355817000,UNISON JASPER,70,9838436,3FYV7,154,26,21,9,7.8,19586
355906000,MSC OSCAR,71,9703291,3FBT7,145,251,36,23,11.1,214574
355924000,MORNING CORNELIA,70,9519145,3FFU2,25,174,20,12,9.3,26466
356005000,YOUNG SHIN,70,9021332,3ELP9,35,145,23,9,8.6,19586
356074000,TRAWIND COURAGE,70,9457127,3FEO6,92,11,4,13,6.5,3669
356093000,MSC JUDITH,71,9299549,3EGR5,254,70,30,13,10.7,117524
356108000,PAULA TRADER,70,9855458,3FRJ6,153,27,19,11,7,19586
356180000,ORIENTAL SOURCES,70,9354210,3EGX6,78,30,5,15,7,4230
356189000,YM MOVEMENT,71,9660011,3FVL4,219,74,28,12,11.4,86915
356234000,MSC NELA,71,9839296,HP7585,127,272,34,27,11.8,219487
356267000,JIN SHUN,70,9486960,3EQS4,69,19,3,11,6.2,2104
356269000,SK SPICA,80,9761815,3FDS8,235,61,18,28,9.3,89612
356275000,HONG HAI YANG,70,9386902,3EGS2,68,12,12,2,5.2,1581
356289000,MSC OLIVER,70,9703306,H8RY,145,251,36,23,7.6,214574
356367000,PEARL RIVER BRIDGE,72,9444986,3FZD7,136,36,20,8,7.4,17089
356391000,SANDY BAY,70,9887011,3EVW6,154,29,11,20,6.2,20582
356407000,EVER LUCKY,70,9604172,3FAE4,231,105,16,30,13.5,131071
356413000,XIANGYU 028,70,9856282,HPIJ,181,19,22,8,5.8,26867
356421000,M. PATRICIA CAMILA,80,9425277,3EGL9,232,58,20,25,9.6,84272
356432000,MSC LENI,70,9839454,3FPV5,128,272,27,35,14.8,221142
356481000,SUNNY ACACIA,70,9689665,3FUU5,123,14,19,6,6.5,8635
356537000,MERIDIAN EXPRESS,80,9596272,3FQH2,148,35,10,22,12,20582
356575000,HAKATA SEOUL,71,9495040,3FOE7,227,89,31,15,11.8,109031
356581000,COSCO ASIA,71,9345403,3ELQ8,259,90,17,29,14.3,146881
356665000,QING LI,70,9281413,HOUC,65,14,7,7,5.1,1522
356667000,TROPICAL SENTOSA,70,9883479,HOPM,97,23,15,6,5.7,5803
356712000,HMM COPENHAGEN,70,9863302,3EIO3,132,268,20,41,12.6,221142
356758000,MAERSK NESNA,70,9894650,3EMX2,46,126,9,24,6.2,17089
356874000,POLARIS HIGHWAY,70,9728095,3EMP4,13,186,33,5,7.6,26466
356893000,EASLINE OSAKA,70,9205665,3FAU9,152,42,17,11,7.9,24521
356909000,GRAND VEGA,79,9355252,3FWB5,25,175,16,16,9.5,26867
356919000,MILLENNIUM LEADER,70,9141211,3FPY6,110,18,10,11,5.7,7043
356931000,QUEZON BRIDGE,70,9515618,3FOW,132,40,18,10,7.1,17089
356941000,YM WARRANTY,71,9757228,3EDZ7,144,222,33,18,14.5,169408
356946000,MSC VANESSA,72,9251688,H0WD,300,71,20,20,13.8,176446
356956000,MORNING CELINE,70,9519133,3FMC5,25,174,20,12,8.8,26466
356970000,BR FAIRY,70,9033842,3FQW8,70,25,6,8,5.9,2648
356973000,SOCOL 10,70,8801591,H3KE,96,17,8,11,5.9,4845
356984000,ONE TRUTH,70,9773210,3FBJ9,142,257,35,23,13.2,219487
357045000,SEACON OSAKA,70,9433872,3EOM4,106,22,5,15,9.1,7043
357051000,MSC DANIT,71,9404649,3FZU8,143,223,35,17,13.1,169408
357058000,NO.2 POHAH,70,9227601,3FWC9,95,25,7,9,4.5,5803
357067000,MSC ELENI,70,9278143,H3BQ,220,74,20,12,12.5,87807
357076000,MORNING CHERRY,70,9675585,3FOD5,20,179,23,9,9.9,26466
357104000,MAERSK ESMERALDAS,71,9502972,HPDM,142,224,29,19,13.8,169408
357138000,BUENA AMISTAD,80,9883560,3EYD4,75,23,4,12,5.1,2907
357140000,KOHSEI MARU,83,9831543,3EJM6,77,22,13,2,4.5,2996
357170000,AH SHIN,70,9177430,3FBO9,17,183,22,10,8.8,26867
357195000,JIAN  RUI  7,70,9416355,3FAT7,68,17,11,3,5.9,1896
357210000,ONE TREASURE,70,9773222,3EUO7,143,257,35,23,10.2,221142
357240000,MSC MELATILDE,71,9404675,3FYE4,220,145,32,19,5.7,168023
357308000,JIANG JUN,31,9483645,HO5025,10,30,5,5,4.3,203
357432000,APOLLO KITA,70,9612466,3FPJ6,99,19,15,6,4.8,5518
357455000,MSC CANBERRA                  ,70,9102722,H8KT   ,183,20,9,21,9.1,28905
357486000,RUKAI BENEFIT,70,9855692,H9XH,111,16,5,14,10,6879
357506000,MSC ANIELLO,70,9203942,3FYW9,192,67,16,16,8,60033
357542000,MSC GINA,70,9202663,3FLY9,197,62,15,17,7,60033
357547000,SAN DIEGO BRIDGE,71,9560376,3FTY6,220,73,28,12,11.7,86915
357687000,PACIFIC CONDOR,70,9216339,3FQO9,97,20,6,14,6.4,5378
357770000,HMM SOUTHAMPTON,70,9868340,3FSH6,128,272,27,35,14.5,221142
357891000,MSC TERESA,71,9469560,3FZP9,142,224,28,23,9.9,169408
357926000,MSC BERYL,71,9467392,3EXV8,146,220,32,16,12.1,169408
357939000,EVER URBAN,79,9169160,3FXN9,211,74,20,20,12.4,79988
357983000,GRAND RACE,70,9184940,3FZH9,50,129,20,12,8.1,19261
357988000,SEROJA LIMA,71,9567661,3FTU,227,89,31,15,13.3,109031
366102000,LIBERTY PROMISE,72,9448425,WWMZ,37,163,18,14,9.3,26867
366565000,KEYSTONE STATE,70,6605022,WCJI,112,91,10,13,9.7,28905
367125000,LIBERTY,79,9310109,KLIG,40,160,10,23,10.4,26867
367276000,WASHINGTON CHAMBERS,90,9551997,NCHA,167,43,6,27,8.8,31999
367438000,MAUNAWILI,70,9268538,WGEB,162,55,14,18,11.4,35307
367578740,PRESIDENT WILSON,70,9218686,WDG8555,191,86,9,31,12.5,73439
367619000,CMA CGM DAKAR,70,9436070,KDAB,160,17,14,14,7.6,18623
367628660,US GOVERNMENT VESSEL,75,9123037,WDH6815,161,23,18,7,8.7,20921
367711140,SLNC GOODWILL,89,9448334,WDI5693,149,33,24,9,7.8,20246
367721220,OCEAN GLORY,70,9681833,KOGH,150,21,7,18,8.5,16793
367840000,MATTHEW PERRY,35,9383625,NPER,138,72,10,22,9,31999
368006000,US WARSHIP,90,0,NCMC,41,122,11,11,0,14544
368146000,MARY ANN HUDSON,70,7821154,KSDF,151,151,151,151,10.7,95172
368473000,LIBERTY PRIDE,70,9448114,KRAU,37,163,18,14,8,26867
368680000,APL SINGAPORE,71,9074547,WCX8812,189,88,20,20,11.5,73439
368700000,US GOVT VESSEL,35,9117040,NZJB,226,63,17,15,10,83403
368709000,CARL BRASHEAR,79,9345104,NBRS,119,91,16,16,9,31999
368715000,US GOV VESSEL-------,90,0,0,0,0,0,0,0,0
368784000,LIBERTY PEACE,70,9777890,WLIU,35,164,8,24,9.6,26466
369222000,LIBERTY PASSION,70,9777888,WLPI,35,164,8,24,9.8,26466
369339000,PRESIDENT KENNEDY,71,9295218,WPKW,228,72,12,31,10.2,93294
369751000,PRESIDENTFDROOSEVELT,70,9400069,WROT,212,94,27,13,12.2,99004
369854000,LEWIS AND CLARK,90,9271418,NLNC,125,85,24,8,9,31999
369855000,USNS SACAGAWEA,35,9271420,NSAC,139,71,8,25,9.2,31999
369970428,CHARLES DREW,35,9508287,NDRE,137,73,22,10,0,31999
369989000,CESAR CHAVEZ,35,9593127,NCCZ,131,80,16,17,0.1,32459
370011000,GRAND VICTORY,90,9334234,3ERC7,30,170,22,10,6.8,26867
370024000,KEN VISTA,70,9527946,3EYL6,157,28,21,10,6.7,21264
370025000,SK SERENITY,80,9761803,HPJD,235,61,20,26,9.6,89612
370029000,JUTHA MARITIMO,79,9445241,3ERF4,92,18,5,14,5.4,4470
370099000,SKY BEAUTY,70,9196462,3FYJ4,74,18,7,10,4.8,2405
370109000,PADIAN 3,71,9162435,3FQZ7,132,30,17,9,5.2,14278
370206000,RUN LONG,70,9172612,H9ND,100,28,17,3,6.3,7043
370220000,VW SAFETY,70,9589994,HOHY,93,17,14,5,4.5,4470
370285000,SKY VENUS,70,9103489,3ESF6,88,18,11,4,3.7,3999
370320000,MSC NAGOYA V,73,9380271,3ESJ8,192,68,16,16,10.9,60731
370322000,JIN HUA,70,9507178,3ESJ9,71,16,6,8,6.1,2033
370341000,MSC VALERIA,71,9461439,3FFK4,142,224,28,23,13.3,169408
370391000,YUSHO MERMAID 2,70,9520247,3ESQ2,66,16,11,3,3.5,1703
370393000,SUPER STAR,90,9469247,3ESQ3,111,17,5,15,6.8,7043
370403000,DONGNI,70,9420215,3FUR9,72,16,10,4,5.3,2104
370408000,KEOYOUNG BLUE 3,82,9765990,HO9294,53,18,2,10,5.1,1105
370417000,EFES,71,9197686,3FWF3,90,10,8,8,5.8,3088
370489000,ORIENT KING,70,9883467,3ELY9,97,23,6,15,7.4,5803
370567000,MORNING LINDA,70,9383106,3ETI,42,190,16,16,10.2,43147
370587000,ONE HENRY HUDSON,71,9302176,3ETK4,244,92,22,24,7.5,131071
370612000,K. MUGUNGWHA,84,9373010,3ETM6,223,65,20,23,10.1,82540
370711000,MSC SIXIN,71,9839301,HP2652,128,272,34,27,14.2,221142
370766000,TANGGUH PALUNG,81,9355379,H9NH,230,55,10,33,9,79988
370799000,LNG KOLT,80,9372963,3FNM7,200,78,27,17,9.8,74238
370808000,MORNING LYNN,70,9383429,3FXS4,48,184,27,5,9.3,43147
370834000,XINRUI2,71,9559420,3EXI7,82,18,13,2,6.3,3088
370892000,MSC DANIELA,70,9399002,3FIA2,141,225,9,42,11.6,169408
370894000,MSC SOLA,70,9401104,3FER7,276,88,16,30,10.5,166646
370895000,SM EAGLE,80,9761827,3EMX3,234,61,24,22,9.6,88707
370930000,JING.SHUN,70,9398371,D7,58,20,9,8,5.5,1465
370966000,JI PENG,70,9122382,H3RB,82,25,12,5,6.5,4114
370967000,MORNING LISA,70,9383417,3FRO6,48,183,29,3,8.9,42591
370983000,HYUNDAI ECOPIA,83,9372999,3FYK,226,62,10,34,9.7,82540
370993000,MSC FRANCESCA,70,9401116,3FXI,273,90,14,32,14.2,165276
371002000,EASLINE DALIAN,79,9167473,HPXQ,151,42,21,7,6.6,24144
371047000,MSC SAMAR,72,9839442,3FKE9,128,272,27,35,13.2,221142
371052000,TRAWIND GLORY,70,9379868,3EMW,99,21,16,5,5.5,5803
371068000,KOKAMARU,80,9767742,3FAZ3,68,21,10,4,4.5,2177
371076000,ONE MILANO,70,9757187,3FAY4,142,224,26,26,11.3,169408
371086000,PRISM BRILLIANCE,80,9810551,3FXT5,233,66,19,29,9.8,92364
371102000,GOLDEN GLORY,80,9851373,3EZT8,73,26,3,13,6,2996
371139000,JOYFUL RESOURCE,70,9614402,3EYN9,107,17,12,8,7,6403
371140000,MORNING CHRISTINA,79,9574054,3FKX8,20,179,23,9,9.9,26466
371141000,EVER CENTER,71,9886990,3FQM7,134,38,20,7,9.1,17089
371147000,GRAND PEARL,79,9339844,3EPV3,27,173,10,22,6.8,26867
371170000,JIN YANG,70,9458676,3ENO5,69,18,12,2,6.2,2033
371206000,SUN UNITY,70,9803106,3FNO,110,17,15,4,6.1,6879
371215000,ONE MILLAU,70,9706736,H9RD,142,223,30,20,9.4,168023
371218000,MSC EVA,72,9401130,3EVM7,146,220,21,30,13.5,169408
371233000,MSC PALOMA,70,9441001,3FKQ,221,144,28,22,12.7,168023
371244000,MAHO CORAL,70,9780706,3FEP4,107,20,14,5,5.3,6879
371262000,WEST DORADO,90,9705469,3FWO,11,216,24,18,7,40417
371274000,MAERSK ENSENADA,74,9502958,H9UW,130,236,29,19,11.1,169408
371318000,SHANGHAI HIGHWAY,70,9294343,3ECE2,18,162,21,11,8.4,19586
371319000,HMM OSLO,70,9868326,3EQD3,128,272,27,35,12.8,221142
371378000,YAMATO,70,9567726,3FHX,15,147,26,12,4.6,14278
371475000,MSC CAROLINA,72,9295397,3ECV5,197,78,29,11,10.5,71860
371519000,MARCOS V,70,9307059,3ECH9,219,74,26,14,13.4,86915
371529000,ARIFE,70,9266322,H8XS,89,12,11,6,5.6,3460
371559000,TIANJIN HIGHWAY,90,9294355,3EDE7,39,141,21,11,8.7,19586
371576000,BUNUN KALON,70,9768033,3FHS8,154,26,9,21,8.9,19586
371582000,MSC LAURENCE,71,9467419,3FUT9,146,220,32,16,10.8,169408
371633000,YM MODERATION,79,9664897,H9EW,220,73,28,12,10.3,86915
371641000,SETTLER,70,9323780,3EDP2,19,164,15,15,7.7,20582
371647000,SEACON KOBE,70,9528536,3FOQ4,98,19,5,15,9.3,5378
371648000,GRAND COSMO,90,9303182,3EDQ,25,174,25,7,8.2,26466
371659000,MORNING COMPOSER,70,9336074,3FAT4,41,159,29,3,9.8,26867
371662000,WU YI SHAN,70,9543897,3FEV2,104,21,16,6,7.5,6559
371706000,MORNING CRYSTAL,79,9574080,3FKJ9,20,179,24,8,8.4,26466
371714000,MARGARETRIVERBRIDGE,71,9550383,3EYL7,132,40,18,10,7.2,17089
371715000,GOLD HOSHI,70,9453298,3FJT7,41,158,18,14,9.5,26466
371752000,MSC RANIA,71,9309447,3EEB3,256,76,16,26,12,126446
371753000,MSC ALEXANDRA,71,9461374,3EXX9,142,224,18,34,8,169408
371793000,A HOUOU,71,9229609,3FOV9,130,23,16,9,9.9,12028
371885000,DURBAN HIGHWAY,70,9536961,H9CR,40,159,24,8,9.4,26466
372003000,MSC GULSUN,71,9839430,3FTV6,128,272,27,35,13.4,221142
372008000,MSC HEIDI,70,9309473,3EHC4,258,74,18,25,12.2,126446
372023000,BAL BOAN,71,9136228,3EDD,128,18,8,14,7.7,10452
372028000,BOSHI 58,70,9369124,3EHD5,98,19,5,15,7.9,5378
372031000,CAPE TOWN HIGHWAY,70,9565558,3FOK4,14,186,21,11,8.4,26867
372050000,MSC JOANNA,70,9304435,3EHF2,261,76,14,32,9.2,132245
372106000,SEIYO GLORY,70,9413353,3EGT6,70,11,6,7,5.6,1641
372116000,MARS,70,9370551,3EID5,106,19,15,5,8.6,6559
372224000,REIWA CENTURY,79,9477608,3FWH3,104,16,12,9,4.9,5803
372229000,RUNXIANG,70,9549308,3FNM3,67,13,11,3,3.8,1581
372283000,GRAND DIAMOND,70,9303223,3EHY,33,166,9,23,9.1,26466
372339000,GENIUS STAR IX,70,9542867,H9ZC,95,25,13,8,5.3,5803
372354000,EVER BRAVE,74,9784130,3FEB,164,47,23,10,8.8,32459
372357000,WAKABA,70,9524229,3FBA5,88,21,13,4,6,4349
372399000,GRAND RUBY,70,9325221,3EIU3,27,173,28,4,7.6,26867
372400000,MSC MARIA SAVERIA,70,9467421,3FLE8,146,220,32,16,15,169408
372410000,GOLDEN RAINBOW,70,9411977,3EJO8,79,8,6,8,5.1,2033
372435000,GRACE PIONEER,70,9169859,3EUA4,87,13,7,13,7.4,3088
372548000,WESTERN HIGHWAY,90,9325776,3EJK5,23,165,6,22,8.3,22315
372594000,EURO STAR,70,8319055,3EJQ3,109,10,8,8,7.4,5659
372627000,MORNING LILY,70,9446013,3FDI5,35,197,31,1,9.5,43147
372665000,HUMEN BRIDGE,71,9302164,3EKA7,260,76,30,16,13.4,131071
372699000,ZENITH ELITE,70,9832028,3EZU4,68,12,10,3,6,1581
372720000,XING GUANG 18,70,9530620,3EWT2,120,20,6,14,4.6,9215
372724000,ONE HAMBURG,79,9395159,3FVW2,244,92,30,16,8.5,131071
372729000,MSC FEBE,71,9839478,3EXK8,128,272,27,35,12.2,221142
372733000,EVER FIT,71,9850795,3FNL4,126,207,31,17,13.6,127592
372736000,MSC SINDY,71,9336048,3EKJ3,258,79,20,26,14.3,132245
372770000,AMAGI,79,9170963,H3FL,75,20,2,12,5.3,2648
372800000,MOL SPARKLE,72,9472567,3EWX3,153,46,11,21,8,26466
372802000,MORNING LUCY,70,9383431,3FWJ,48,183,29,3,8.9,42591
372818000,TS HONGKONG,72,9348493,3EKS9,147,21,14,11,10.5,15924
372843000,MSC FIAMMETTA,72,9369758,3EOU7,187,90,24,16,13.5,73439
372856000,DREAM DIVA,79,9325790,3EKW6,38,148,7,21,8.2,21611
372857000,GRAND HERO,70,9339806,3EKW7,30,169,21,11,9.2,26466
372914000,MORNING CONDUCTOR,70,9336050,3FHA3,43,157,29,3,9.4,26867
372918000,CS FORTUNE,70,9435143,3FPZ3,167,16,13,15,9.3,20582
372995000,BESS,70,9531715,3FHH5,27,172,10,22,8.7,26466
372997000,DONG A METIS,70,9419747,3FIR7,45,154,16,16,10,26466
373004000,MSC FLAVIA,71,9467433,3FBD7,146,220,32,16,13,169408
373005000,MSC VANDYA,71,9484467,3FDW4,140,225,28,21,12.6,168023
373031000,MSC CAPELLA,70,9465289,3EUI7,140,226,30,18,10.5,169408
373044000,NUMBER 9,74,9340752,3ESV7,192,68,24,8,11,60731
373069000,MSC AURORA,71,9484481,3FAT3,142,224,27,21,13.2,169408
373080000,HE SHENG,70,9234379,3EPO4,100,47,10,13,6,10668
373119000,ONE HELSINKI,73,9588081,3FIW4,243,92,30,16,12.9,129905
373126000,SKY FLOWER,70,9595802,3EUE6,113,33,18,5,8.1,10452
373133000,SEIYO HONOR,70,9364887,3FJB9,97,14,14,5,5.4,4593
373170000,WEST DRACO,90,9705457,3FSD6,25,202,31,11,13,40417
373175000,SOCOL8,70,9017630,3FCQ3,97,19,12,7,5.2,5242
373183000,MSC DEILA,72,9461415,3FKL6,142,224,28,23,10,169408
373269000,WEST LIBRA,99,9709740,3EFT9,43,195,36,6,6.7,46582
373303000,APOLLO STELLA,70,9612478,3FFX3,99,19,15,6,8.9,5518
373309000,NORD MELBOURNE,70,9902081,3FQP7,153,26,8,21,8.9,19261
373355000,MSC ARIANE,71,9484443,3FDA3,142,224,27,21,9.6,169408
373375000,EARNEST CRANE,70,9595319,HOKL,93,17,14,5,5.2,4470
373393000,PRT BELLE,79,9615119,3FBM3,154,26,13,17,5.6,19586
373398000,MORNING CLAIRE,79,9620683,3EZF3,24,175,24,8,7.7,26466
373404000,MSC KATRINA,79,9467445,3EZD3,146,220,32,16,12.2,169408
373417000,HANARO,70,9133317,H3RL,98,22,13,3,6.8,5803
373446000,YU SHUN,70,9632076,3EXI3,65,19,7,7,4,1830
373448000,SEEDIQ BENEFIT,70,9894296,3EYL4,118,19,16,7,5.6,8635
373455000,GRANDE FORTUNA,70,9561643,3EXG3,105,20,15,6,5.9,6559
373485000,ONE HOUSTON,93,9566382,3FLC7,243,92,30,16,10.2,129905
373493000,KING NO.7,52,9847683,HP5901,25,10,7,7,0,136
373579000,MSC GIANNINA II,70,9289051,3FIP4,157,18,16,12,8.2,17999
373595000,KMTC PENANG,70,9821093,3ECW9,182,18,23,12,10.2,26867
373598000,MSC AMSTERDAM,70,9606338,3EUJ,160,239,18,36,10.5,219487
373672000,OCEAN DRAGON,71,9508770,3EXR,80,19,4,14,5.7,2996
373712000,EVER FAME,70,9850800,H9CF,135,199,29,19,13.9,128745
373817000,GMT ASTRO,70,8606056,3FKQ7,33,158,8,24,8.2,23401
373876000,XIN ZHOU HAI,70,8655722,3FLB6,80,18,8,10,5.5,2907
373889000,GLOBAL GOLD,79,9614359,3FHS7,151,26,20,9,6.7,18623
373901000,BLACK DRAGON,80,9652301,3FBS2,60,20,4,10,4.7,1581
