timestamp,pilot_mmsi,mother_mmsi,pilot_lat,pilot_lon,mother_lat,mother_lon,mother_sog,mother_cog,target_mmsi,target_lat,target_lon,target_distance_m,target_vessel_type,traffic_direction,is_boarding_operation
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.98188,128.817538333333,990.3,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.98194,128.817483333333,998.3,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9820666666667,128.817375,1014.9,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9821616666667,128.817291666667,1027.5,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9822916666667,128.817186666667,1044.4,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9824216666667,128.817086666667,1061.2,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9825233333333,128.817015,1074.1,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.98263,128.816946666667,1087.4,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.982735,128.816881666667,1100.4,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9828066666667,128.816841666667,1109.2,90.0,inbound,True
2024-06-13 15:41:00,440155330.0,413383270.0,34.9741316666667,128.821546666667,34.9735283333333,128.821311666667,0.2,345.6,412370360,34.9828816666667,128.816803333333,1118.2,90.0,inbound,True
