scenario_id,tau_clear_s,psi_clear_deg,distance_at_t0_m,status,entered_hazard,n_entries,n_exits
INT_440155330_538009273_20231115_0545,11.400,0.069,21.401,cleared_after_entry,1,1,1
INT_440155330_351848000_20231115_0747,48.000,3.955,112.722,cleared_after_entry,1,1,1
INT_440008040_440366000_20231115_0805,0.000,0.000,37.696,never_entered,0,0,0
INT_440008040_440065000_20231115_0934,0.000,0.000,18.083,never_entered,0,0,0
INT_440155330_538009631_20231115_1042,35.000,1.485,21.401,cleared_after_entry,1,1,1
INT_440151610_538009631_20231115_1105,63.200,5.193,21.401,cleared_after_entry,1,1,1
INT_373493000_440120000_20231115_1537,43.400,7.210,15.880,cleared_after_entry,1,1,1
INT_440702880_636093164_20231115_1625,0.000,0.000,112.722,never_entered,0,0,0
INT_440030820_440147000_20231115_1717,77.400,8.736,22.719,cleared_after_entry,1,1,1
INT_440151610_563004500_20231115_1858,105.400,10.398,23.308,cleared_after_entry,1,1,1
INT_440030820_636021108_20231115_2015,0.000,0.000,56.765,never_entered,0,0,0
INT_440005000_356189000_20231115_2025,0.000,0.000,81.873,never_entered,0,0,0
INT_440151610_440147000_20231115_2035,0.000,0.000,22.719,never_entered,0,0,0
INT_440155330_563158900_20231116_0226,58.800,3.770,28.302,cleared_after_entry,1,1,1
INT_440155330_219033000_20231116_0312,91.200,11.303,112.722,cleared_after_entry,1,1,1
INT_440702880_219033000_20231116_0344,0.000,0.000,112.722,never_entered,0,0,0
INT_440155330_441387000_20231116_0453,56.800,4.238,34.355,cleared_after_entry,1,1,1
INT_440018500_563004200_20231116_0559,0.000,0.000,93.543,never_entered,0,0,0
INT_440005000_232024772_20231116_1009,114.200,13.628,100.489,cleared_after_entry,1,1,1
INT_440335980_440048210_20231116_1052,45.400,11.862,12.777,cleared_after_entry,1,1,1
INT_440008040_636022611_20231116_1521,31.400,1.898,50.757,cleared_after_entry,1,1,1
INT_440151610_538005520_20231116_1950,94.400,8.747,40.003,cleared_after_entry,1,1,1
INT_440112210_229075000_20231116_2024,172.600,23.782,75.068,cleared_after_entry,1,1,1
INT_440155330_273298570_20231116_2049,15.600,0.341,31.579,cleared_after_entry,1,1,1
INT_440155330_256592000_20231117_0342,32.600,1.994,32.175,cleared_after_entry,1,1,1
INT_440313260_256592000_20231117_0407,116.200,16.048,32.175,cleared_after_entry,1,1,1
INT_440030820_563125200_20231117_0447,98.800,10.995,33.019,cleared_after_entry,1,1,1
INT_440127410_255806520_20231117_1510,36.800,2.622,93.543,cleared_after_entry,1,1,1
INT_440008040_212563000_20231117_1450,44.800,2.588,25.928,cleared_after_entry,1,1,1
INT_440127410_477867800_20231117_1945,108.000,14.484,113.071,cleared_after_entry,1,1,1
INT_440335980_477867800_20231117_2018,145.000,21.570,113.071,cleared_after_entry,1,1,1
INT_440127410_355623000_20231117_2049,58.600,6.492,103.394,cleared_after_entry,1,1,1
INT_440127410_256011000_20231117_2200,60.200,6.722,85.996,cleared_after_entry,1,1,1
INT_440151610_636020701_20231117_2212,68.000,4.976,27.459,cleared_after_entry,1,1,1
INT_440127410_636022640_20231117_2329,56.200,5.656,43.081,cleared_after_entry,1,1,1
INT_440030820_256485000_20231118_0705,0.000,0.000,52.872,never_entered,0,0,0
INT_440112210_303340000_20231118_0817,179.200,24.936,79.945,cleared_after_entry,1,1,1
INT_440151610_440273000_20231118_0900,0.000,0.000,18.168,never_entered,0,0,0
INT_373493000_440273000_20231118_0903,0.000,0.000,18.168,never_entered,0,0,0
INT_440104800_538007485_20231118_0933,173.000,26.954,81.892,cleared_after_entry,1,1,1
INT_440016540_538007485_20231118_0934,176.200,27.570,81.892,cleared_after_entry,1,1,1
INT_440127410_215839000_20231118_1539,62.400,6.673,113.071,cleared_after_entry,1,1,1
INT_440412320_636022640_20231118_1710,0.000,0.000,43.081,never_entered,0,0,0
INT_440151610_636022640_20231118_1733,0.000,0.000,43.081,never_entered,0,0,0
INT_440051510_636022640_20231118_1739,0.000,0.000,43.081,never_entered,0,0,0
INT_440008040_311703000_20231118_1825,9.400,0.039,18.601,cleared_after_entry,1,1,1
INT_440008040_311655000_20231118_1904,9.000,0.032,18.310,cleared_after_entry,1,1,1
INT_440016540_370320000_20231118_1932,142.600,18.549,75.068,cleared_after_entry,1,1,1
INT_440008040_636020744_20231118_2141,0.000,0.000,113.071,never_entered,0,0,0
INT_373493000_440273000_20231118_2345,0.000,0.000,18.168,never_entered,0,0,0
INT_440008040_440112000_20231119_0020,15.800,0.272,32.795,cleared_after_entry,1,1,1
INT_440005000_440112000_20231119_0042,87.600,10.628,32.795,cleared_after_entry,1,1,1
INT_440151610_440120000_20231119_0027,0.000,0.000,15.880,never_entered,0,0,0
INT_440008040_255805588_20231119_0213,0.000,0.000,85.255,never_entered,0,0,0
INT_440127410_413996000_20231119_0548,27.000,1.280,42.746,cleared_after_entry,1,1,1
INT_440104800_413996000_20231119_0610,95.800,10.487,42.746,cleared_after_entry,1,1,1
INT_440008040_305126000_20231119_0647,17.800,0.449,34.540,cleared_after_entry,1,1,1
INT_440008040_338459000_20231119_0711,23.400,1.262,44.598,cleared_after_entry,1,1,1
INT_440151610_338459000_20231119_0730,114.800,13.731,44.598,cleared_after_entry,1,1,1
INT_440008040_563161900_20231119_1332,32.800,1.293,28.302,cleared_after_entry,1,1,1
INT_440016540_538007482_20231119_1341,0.000,0.000,81.892,never_entered,0,0,0
INT_440127410_538007484_20231120_0543,43.800,4.025,82.869,cleared_after_entry,1,1,1
INT_440151610_565156000_20231120_0702,131.000,16.532,43.832,cleared_after_entry,1,1,1
INT_440313250_565334000_20231120_0830,143.400,16.255,56.648,cleared_after_entry,1,1,1
INT_440127410_413383270_20231120_0836,0.000,0.000,51.393,never_entered,0,0,0
INT_440127410_477947700_20231120_1452,43.800,4.536,76.041,cleared_after_entry,1,1,1
INT_440139260_477947700_20231120_1510,0.000,0.000,76.041,never_entered,0,0,0
INT_440016540_477947700_20231120_1510,0.000,0.000,76.041,never_entered,0,0,0
INT_440155330_563159100_20231120_1802,48.400,2.520,20.809,cleared_after_entry,1,1,1
INT_440155330_218474000_20231120_2242,104.800,12.016,112.722,cleared_after_entry,1,1,1
INT_440016540_563150100_20231121_0009,0.000,0.000,78.021,never_entered,0,0,0
INT_373493000_563147400_20231121_0051,52.200,2.960,21.360,cleared_after_entry,1,1,1
INT_440008040_636015607_20231121_0246,62.800,6.753,112.722,cleared_after_entry,1,1,1
INT_440008040_441701000_20231121_0310,48.600,4.886,85.739,cleared_after_entry,1,1,1
INT_440030820_441701000_20231121_0331,0.000,0.000,85.739,never_entered,0,0,0
INT_440104800_441701000_20231121_0334,0.000,0.000,85.739,never_entered,0,0,0
INT_440104800_215217000_20231121_0605,0.000,0.000,98.108,never_entered,0,0,0
INT_440139260_440153850_20231121_0838,30.000,5.472,12.298,cleared_after_entry,1,1,1
INT_440127410_563150100_20231121_0922,0.000,0.000,78.021,never_entered,0,0,0
